"","school","standard","child_age","child_sex","child_religion"
"1","zenith",3,8.6,"male","hindu"
"2","zenith",5,10,"male","muslim"
"3","zenith",3,9,"male","muslim"
"4","zenith",3,8,"female","muslim"
"5","zenith",5,10,"male","other"
"6","zenith",5,10,"female","hindu"
"7","zenith",5,9.7,"female","hindu"
"8","zenith",7,12,"male",NA
"9","zenith",7,13,"male","muslim"
"10","zenith",7,13,"male","hindu"
"11","zenith",7,12,"male",NA
"12","zenith",7,13,"male","hindu"
"13","zenith",7,12,"female","muslim"
"14","zenith",7,12,"female","muslim"
"15","zenith",7,13,"female","hindu"
"16","zenith",7,13,"female","hindu"
"17","zenith",7,12,"male","hindu"
"18","zenith",7,13,"male","other"
"19","zenith",7,13,"male","muslim"
"20","zenith",7,13,"female","hindu"
"21","zenith",7,12,"female","muslim"
"22","zenith",5,11,"male","hindu"
"23","zenith",5,10,"female","muslim"
"24","zenith",5,11,"male","muslim"
"25","zenith",5,11,"male","hindu"
"26","zenith",7,12,"male","muslim"
"27","zenith",5,10,"male","hindu"
"28","zenith",7,12,"female","hindu"
"29","zenith",7,12,"female","hindu"
"30","zenith",3,8.36827956989247,"male","muslim"
"31","zenith",3,7.75806451612903,"male","muslim"
"32","zenith",3,8,"female","muslim"
"33","zenith",3,8.7,"female","hindu"
"34","zenith",3,7.8,"female","muslim"
"35","zenith",5,10,"male","muslim"
"36","zenith",5,10,"male","muslim"
"37","zenith",5,10,"female","muslim"
"38","zenith",5,10,"female","muslim"
"39","zenith",7,13,"male","hindu"
"40","zenith",7,12,"male","muslim"
"41","zenith",7,12,"male","muslim"
"42","zenith",7,12,"male","muslim"
"43","zenith",7,12,"male","muslim"
"44","zenith",7,12,"male","hindu"
"45","zenith",7,12,"female","hindu"
"46","zenith",7,12,"female","muslim"
"47","zenith",7,12,"female","muslim"
"48","zenith",7,12,"female","muslim"
"49","zenith",7,13,"female","muslim"
"50","zenith",7,13,"female","hindu"
"51","zenith",7,12,"female","hindu"
"52","zenith",7,12,"male","muslim"
"53","zenith",7,13,"male","muslim"
"54","zenith",7,12,"female","muslim"
"55","zenith",7,13,"female","muslim"
"56","zenith",7,12,"male","hindu"
"57","zenith",5,10,"female","muslim"
"58","zenith",7,12,"female","hindu"
"59","zenith",5,10,"female","hindu"
"60","zenith",7,13,"female","muslim"
"61","zenith",3,8.3,"female","hindu"
"62","zenith",7,13,"male","hindu"
"63","zenith",5,11,"female","muslim"
"64","zenith",3,7.9,"female","hindu"
"65","zenith",3,8.4,"male","hindu"
"66","zenith",3,8.1,"male","hindu"
"67","zenith",5,10,"female","hindu"
"68","zenith",5,10,"male","hindu"
"69","zenith",5,10,"male","hindu"
"70","zenith",5,10,"female","hindu"
"71","zenith",7,12,"male","hindu"
"72","zenith",7,13,"male","hindu"
"73","zenith",7,13,"female","hindu"
"74","zenith",7,12,"male","hindu"
"75","zenith",7,12,"female","hindu"
"76","zenith",7,12,"female","hindu"
"77","zenith",7,13,"male","hindu"
"78","zenith",5,10,"female","hindu"
"79","zenith",5,11,"male","muslim"
"80","zenith",7,12,"male","hindu"
"81","zenith",3,7.8,"male","muslim"
"82","zenith",7,13,"male","muslim"
"83","zenith",3,7.91129032258065,"female","hindu"
"84","zenith",5,10,"male","hindu"
"85","zenith",5,10,"female","muslim"
"86","zenith",3,8.25537634408602,"female","hindu"
"87","zenith",3,7.69623655913978,"male","muslim"
"88","zenith",3,8.18548387096774,"male","muslim"
"89","zenith",3,8.45698924731183,"male","muslim"
"90","zenith",3,8.20698924731183,"female","other"
"91","zenith",5,10,"male","hindu"
"92","zenith",5,11,"male","hindu"
"93","zenith",5,10,"female","other"
"94","zenith",5,10,"female","hindu"
"95","zenith",5,10,"female","hindu"
"96","zenith",5,11,"female","muslim"
"97","zenith",5,10,"female","hindu"
"98","zenith",5,10,"male","muslim"
"99","zenith",5,11,"male","muslim"
"100","zenith",5,11,"female","muslim"
"101","zenith",5,9.9,"female","hindu"
"102","zenith",5,11,"male","muslim"
"103","zenith",5,10,"female","hindu"
"104","zenith",5,11,"female","hindu"
"105","zenith",5,11,"male","muslim"
"106","zenith",5,10,"male","hindu"
"107","zenith",5,9.8,"female","muslim"
"108","zenith",5,10,"male","hindu"
"109","zenith",5,10,"female","hindu"
"110","zenith",5,10,"male","hindu"
"111","zenith",5,10,"female","hindu"
"112","zenith",5,11,"male","muslim"
"113","zenith",7,12,"female","muslim"
"114","zenith",5,10,"male","hindu"
"115","zenith",5,9.8,"male","muslim"
"116","zenith",5,11,"female","muslim"
"117","zenith",5,10,"female","muslim"
"118","zenith",5,10,"female","hindu"
"119","zenith",5,11,"male","hindu"
"120","zenith",5,10,"female","hindu"
"121","zenith",5,10,"male","hindu"
"122","zenith",5,10,"female","hindu"
"123","zenith",3,8,"female","muslim"
"124","zenith",3,8.5,"female","muslim"
"125","zenith",3,8.13440860215054,"female","muslim"
"126","zenith",3,8,"male","muslim"
"127","zenith",3,8,"male","muslim"
"128","zenith",3,8.3,"male","hindu"
"129","zenith",3,8.6,"male","hindu"
"130","zenith",3,8.3,"female","muslim"
"131","zenith",3,8.4,"male","muslim"
